Candidate Ref,DOJ Extended,Duration to accept offer,Notice period,Offered band,Pecent hike expected in CTC,Percent hike offered in CTC,Percent difference CTC,Joining Bonus,Candidate relocate actual,Gender,Candidate Source,Rex in Yrs,LOB,Location,Age,Status
2110407,Yes,14,30,E2,-20.79,13.16,42.86,No,No,Female,Agency,7,ERS,Noida,34,Joined
2112635,No,18,30,E2,50,320,180,No,No,Male,Employee Referral,8,INFRA,Chennai,34,Joined
2112838,No,3,45,E2,42.84,42.84,0,No,No,Male,Agency,4,INFRA,Noida,27,Joined
2115021,No,26,30,E2,42.84,42.84,0,No,No,Male,Employee Referral,4,INFRA,Noida,34,Joined
2115125,Yes,1,120,E2,42.59,42.59,0,No,Yes,Male,Employee Referral,6,INFRA,Noida,34,Joined
2117167,Yes,17,30,E1,42.83,42.83,0,No,No,Male,Employee Referral,2,INFRA,Noida,34,Joined
2119124,Yes,37,30,E2,31.58,31.58,0,No,No,Male,Employee Referral,7,INFRA,Noida,32,Joined
2121918,No,,45,E2,40,208.64,120.45,No,No,Male,Employee Referral,4,INFRA,Noida,34,Not Joined
2127572,Yes,16,0,E1,-20,-20,0,No,No,Female,Direct,8,Healthcare,Noida,34,Joined
2137866,No,,30,E1,1,-51.37,-55.71,No,No,Male,Direct,4,ERS,Noida,34,Not Joined
2138169,No,1,30,E1,-22.22,-22.22,0,No,No,Female,Employee Referral,3,BFSI,Gurgaon,26,Joined
2143362,No,6,30,E1,240,220,-5.88,No,No,Male,Employee Referral,3,CSMP,Chennai,34,Joined
2151180,No,120,30,E2,5.26,-60.53,-62.5,No,No,Male,Employee Referral,3,INFRA,Noida,34,Not Joined
2154264,No,3,0,E2,28.21,37.18,7,No,No,Male,Employee Referral,7,INFRA,Chennai,34,Joined
2156236,Yes,14,30,E2,50,287.5,158.33,No,No,Male,Agency,7,INFRA,Noida,29,Not Joined
2158703,No,44,75,E2,45.45,60,10,No,No,Male,Direct,8,INFRA,Noida,34,Not Joined
2161257,No,7,30,E3,53.85,50,-2.5,No,No,Male,Employee Referral,5,INFRA,Noida,34,Not Joined
2162487,No,1,30,E3,-27.31,-27.31,0,No,No,Male,Direct,18,ETS,Bangalore,34,Joined
2166041,Yes,98,30,E2,50,165.36,76.91,No,No,Male,Agency,8,INFRA,Noida,36,Not Joined
2172982,No,1,0,E2,30,30,0,No,No,Male,Direct,6,INFRA,Noida,34,Joined
2173730,No,1,30,E1,-13.42,42.86,65,No,No,Male,Direct,1,INFRA,Gurgaon,34,Joined
2175237,No,7,30,E1,221.43,164.29,-17.78,No,No,Male,Direct,2,ERS,Noida,34,Joined
2175323,No,1,0,E3,42.78,42.78,0,No,Yes,Male,Employee Referral,8,INFRA,Chennai,29,Joined
2184108,No,0,30,E1,37.5,37.5,0,No,No,Female,Employee Referral,3,ERS,Chennai,30,Joined
2188014,No,1,0,E2,42.86,42.86,0,No,No,Male,Direct,5,INFRA,Noida,30,Joined
2191237,Yes,83,60,E2,25,25,0,No,No,Male,Direct,5,AXON,Noida,30,Joined
2194323,No,1,0,E3,114.82,42.86,-33.5,No,No,Male,Direct,6,INFRA,Noida,31,Joined
2205244,No,16,60,E1,41.18,0,-29.17,No,No,Male,Direct,7,AXON,Noida,31,Not Joined
2205496,Yes,32,120,E3,50.97,57,4,No,No,Male,Direct,13,ERS,Chennai,40,Joined
2207823,Yes,19,30,E2,42.85,42.85,0,No,No,Male,Direct,7,INFRA,Noida,28,Joined
2211699,Yes,0,0,E2,23.08,15.38,-6.25,No,No,Male,Employee Referral,6,BFSI,Chennai,34,Not Joined
2214217,No,4,30,E2,-2.17,-2.17,0,No,No,Female,Employee Referral,5,ERS,Chennai,33,Joined
2214446,No,38,45,E2,42.11,42.11,0,No,No,Male,Direct,13,BFSI,Chennai,25,Joined
2215071,No,,75,E1,-37,-37,0,No,No,Male,Direct,3,Healthcare,Kolkata,30,Not Joined
2216456,No,,45,E2,75.78,50.7,-14.27,Yes,No,Male,Direct,6,INFRA,Mumbai,31,Not Joined
2217381,No,,30,E4,81.1,81.1,0,No,No,Male,Direct,7,INFRA,Chennai,44,Joined
2221643,No,0,30,E3,-14.91,-14.91,0,No,Yes,Male,Employee Referral,15,INFRA,Noida,44,Joined
2221707,Yes,18,90,E2,33.33,211.11,133.33,No,No,Male,Agency,6,ERS,Hyderabad,23,Not Joined
2222480,No,24,30,E2,20.48,23.95,2.88,No,No,Male,Direct,6,INFRA,Chennai,29,Not Joined
2222936,Yes,10,60,E3,25,29.17,3.33,No,No,Male,Employee Referral,6,INFRA,Noida,32,Joined
2223040,Yes,53,60,E2,34.64,28.52,-4.55,No,No,Male,Direct,6,AXON,Bangalore,30,Joined
2224243,No,,60,E1,51.52,-6.67,-38.4,No,No,Male,Agency,6,ERS,Bangalore,31,Not Joined
2224425,No,0,0,E3,89.58,89.58,0,No,No,Male,Direct,20,ERS,Bangalore,44,Joined
2224426,Yes,5,0,E2,28.57,28.57,0,Yes,Yes,Male,Employee Referral,6,AXON,Bangalore,33,Joined
2225685,No,0,0,E3,7.69,-5.79,-12.52,No,No,Male,Employee Referral,13,INFRA,Noida,41,Joined
2226215,No,4,30,E1,-14.58,-14.58,0,No,No,Male,Direct,2,INFRA,Noida,28,Joined
2227339,Yes,46,30,E3,22.22,260,194.55,No,No,Male,Employee Referral,13,ERS,Chennai,36,Not Joined
2227431,Yes,2,75,E3,42.85,42.85,0,No,Yes,Male,Employee Referral,8,INFRA,Noida,30,Joined
2233506,No,1,90,E2,42.85,42.85,0,No,No,Male,Employee Referral,6,INFRA,Noida,31,Joined
2233690,No,-1,90,E1,-11.11,-11.11,0,No,No,Male,Employee Referral,2,INFRA,Gurgaon,26,Joined
2237763,Yes,31,90,E2,7.96,-55.75,-59.02,No,No,Male,Employee Referral,6,INFRA,Noida,32,Joined
2237899,Yes,4,0,E2,42.86,42.86,0,No,No,Female,Employee Referral,10,INFRA,Noida,34,Joined
2238751,Yes,54,60,E3,35,31,-2.96,No,No,Male,Employee Referral,9,INFRA,Noida,34,Not Joined
2238809,No,33,75,E3,31.82,31.82,0,No,No,Male,Employee Referral,7,INFRA,Noida,20,Not Joined
2240297,No,,60,E1,-18.18,-18.18,0,No,No,Male,Employee Referral,3,ERS,Noida,27,Not Joined
2245529,Yes,1,30,E2,62.5,12.5,-30.77,No,No,Female,Employee Referral,3,INFRA,Noida,30,Not Joined
2247184,No,,60,E2,,42.85,,No,No,Male,Employee Referral,6,INFRA,Noida,30,Not Joined
2281509,No,1,30,E2,42.86,42.86,0,Yes,No,Male,Employee Referral,4,INFRA,Gurgaon,28,Joined
2282312,No,,45,E2,55,250,125.81,No,No,Male,Employee Referral,7,EAS,Noida,33,Not Joined
2282545,No,,60,E3,22.22,300,227.27,No,No,Male,Direct,10,ERS,Bangalore,40,Not Joined
2282688,No,4,30,E1,233.33,150,-25,No,No,Female,Direct,1,ERS,Chennai,25,Joined
2282703,No,4,30,E1,233.33,150,-25,No,No,Female,Direct,1,ERS,Chennai,25,Joined
2282740,No,,30,E1,13.33,-12,-22.35,No,No,Male,Direct,4,ERS,Bangalore,31,Not Joined
